stuid,schoolid,days_absent,miles_to_school,pre_test_read,pre_test_math,treatment,atrisk,grade,female
584,D,2,2.479161,780,780,1,1,9,1
585,D,0,3.4993534,782,775,1,0,9,1
586,D,3,2.8760998,728,714,1,1,10,1
587,D,2,6.0684452,731,730,1,1,9,1
588,D,1,3.9663708,748,785,1,0,10,0
589,D,0,3.615315,743,711,1,0,10,1
590,D,0,3.0470173,745,745,1,0,9,1
591,D,0,2.743649,761,761,1,0,9,0
592,D,0,3.6760256,715,699,1,0,10,1
593,D,0,3.6099119,781,752,1,0,9,0
594,D,0,3.9589076,719,783,1,0,11,1
595,D,5,3.006953,739,777,1,0,12,0
596,D,0,5.0843549,795,735,1,0,11,0
597,D,4,2.9731789,808,767,1,1,10,1
598,D,1,3.8218734,700,802,1,0,10,1
599,D,1,5.6402826,784,771,1,0,9,1
600,D,3,3.5018971,758,773,1,0,9,1
601,D,0,2.9871552,727,757,1,0,10,1
602,D,4,3.8224373,744,733,1,1,11,1
603,D,1,1.2862623,739,666,1,0,11,1
604,D,4,4.7303233,811,738,1,0,12,1
605,D,0,2.553968,754,767,1,0,9,0
606,D,0,4.1264639,796,700,1,0,9,1
607,D,4,2.7219071,676,714,1,1,9,0
608,D,1,3.1887894,809,802,1,1,10,1
609,D,3,5.9779239,772,784,1,0,12,1
610,D,0,1.2506952,762,722,1,0,11,0
611,D,5,1.7947261,738,768,1,0,11,1
612,D,0,4.6295185,672,737,1,0,10,1
613,D,5,.68697125,729,758,1,1,12,1
614,D,0,4.1522689,761,744,1,0,9,0
615,D,7,3.1799917,704,800,1,0,9,0
616,D,1,2.0226462,723,774,1,0,9,1
617,D,3,2.5423834,733,731,1,0,10,0
618,D,5,1.5142851,747,772,1,1,12,1
619,D,4,4.2359281,793,724,1,0,12,1
620,D,2,3.4024973,705,730,1,0,10,1
621,D,0,3.8904505,774,742,1,0,10,1
622,D,0,4.0970216,697,713,1,0,10,0
623,D,0,1.7187101,769,763,1,0,11,1
624,D,0,3.691993,744,758,1,0,10,0
625,D,3,3.4332817,812,783,1,1,10,0
626,D,2,3.4954767,760,807,1,0,11,0
627,D,3,2.534555,761,745,1,1,9,0
628,D,7,3.3070912,753,742,1,1,12,0
629,D,3,2.9240603,735,726,1,0,10,0
630,D,6,4.6137438,731,778,1,0,9,0
631,D,0,4.6170306,768,728,1,0,10,0
632,D,1,3.0656865,734,747,1,0,9,0
633,D,3,2.3196049,748,725,1,1,9,1
634,D,3,2.6508236,753,809,1,0,10,0
635,D,4,1.6927246,775,797,1,1,11,0
636,D,1,4.6238275,761,740,1,0,11,0
637,D,2,1.7239957,730,803,1,0,9,1
638,D,1,5.6041126,754,692,1,0,9,1
639,D,3,4.4913163,736,725,1,1,9,1
640,D,3,2.1856034,729,719,1,0,11,1
641,D,2,2.924201,780,724,1,1,10,0
642,D,2,3.8818622,767,690,1,0,11,0
643,D,1,4.6903996,826,757,1,1,9,1
644,D,4,2.6688132,727,744,1,1,10,0
645,D,3,.93911123,737,765,1,1,11,1
646,D,2,6.193696,722,748,1,0,9,0
647,D,3,2.967443,706,746,1,1,10,1
648,D,2,2.9462717,764,682,1,1,10,0
649,D,2,2.3861194,674,799,1,1,10,1
650,D,3,1.8239058,731,830,1,1,11,1
651,D,0,4.0519938,735,731,1,0,11,1
652,D,5,4.477746,724,741,1,0,12,1
653,D,7,2.1955578,799,781,1,1,10,1
654,D,3,1.4418,806,737,1,0,12,1
655,D,2,5.1152282,755,754,1,0,9,0
656,D,0,5.0935078,736,793,1,0,11,0
657,D,4,.86231452,742,743,1,1,10,0
658,D,5,5.2593498,805,755,1,1,11,0
659,D,3,4.447156,750,716,1,1,9,0
660,D,2,3.964776,757,800,1,1,9,1
661,D,0,3.4813766,728,693,1,0,9,0
662,D,5,2.9626906,794,769,1,0,9,1
663,D,1,3.3176353,698,727,1,1,10,1
664,D,2,2.6361246,747,744,1,0,12,0
665,D,2,1.2101333,773,743,1,1,10,1
666,D,5,4.7327185,707,733,1,0,10,1
667,D,0,2.2367289,774,796,1,0,11,0
668,D,0,1.5135336,752,811,1,0,10,0
669,D,5,2.6811812,756,736,1,0,12,1
670,D,5,4.8776417,762,742,1,1,10,1
671,D,2,2.5331442,750,774,1,1,9,0
672,D,2,1.2895923,766,752,1,1,9,1
673,D,2,2.9949541,719,772,1,0,9,1
674,D,5,3.6915457,750,751,1,0,11,0
675,D,0,2.285706,767,786,1,0,11,1
676,D,11,4.5169525,748,745,1,1,9,1
677,D,0,1.5103159,775,763,1,0,10,0
678,D,3,3.9320633,726,713,1,1,10,1
679,D,3,1.9447025,789,790,1,1,10,1
680,D,2,1.3821118,728,759,1,1,10,1
681,D,5,2.6736152,728,743,1,1,9,0
682,D,3,2.9648564,777,798,1,1,11,1
683,D,2,3.6830027,751,783,1,1,9,0
684,D,2,3.0005074,680,771,1,0,11,1
685,D,3,5.0977321,793,746,1,0,12,0
686,D,7,3.7101157,749,727,1,1,12,0
687,D,0,.042000543,769,746,1,0,10,0
688,D,5,3.1547403,733,753,1,1,9,1
689,D,5,5.4314904,762,773,1,1,11,0
690,D,8,5.6084547,764,704,1,1,12,0
691,D,2,1.2339888,732,748,1,1,9,0
692,D,7,3.2585623,740,735,1,1,10,1
693,D,2,3.7620161,719,776,1,1,9,0
694,D,4,1.5544848,715,757,1,1,10,1
695,D,2,2.040061,745,809,1,0,12,0
696,D,1,5.2424402,743,742,1,1,9,1
697,D,3,3.3422198,703,719,1,1,11,1
698,D,7,2.7616377,776,686,1,1,12,1
699,D,6,3.1754003,781,679,1,0,11,0
700,D,3,2.9095988,748,751,1,0,12,1
701,D,1,1.1301955,758,767,1,0,10,0
702,D,7,4.2684784,756,795,1,0,9,1
703,D,2,2.8252177,711,780,1,1,10,0
704,D,0,1.1949638,731,763,1,0,9,0
705,D,2,3.0053873,679,742,1,0,9,1
706,D,0,4.0379353,805,797,1,0,9,1
707,D,10,4.4877305,807,772,1,1,12,0
708,D,3,2.4164202,813,701,1,1,9,1
709,D,9,3.8571372,783,763,1,0,12,0
710,D,3,2.8028626,687,762,1,1,10,1
711,D,0,2.9304557,816,761,1,0,11,0
712,D,0,4.8107362,703,766,1,0,10,0
713,D,0,3.5569844,747,738,1,0,11,1
714,D,3,2.9896624,804,744,1,1,9,0
715,D,0,3.2610247,789,749,1,0,9,0
716,D,0,2.0924087,730,772,1,0,9,0
717,D,3,.97069961,790,724,1,1,10,0
718,D,2,1.9183044,736,785,1,0,11,0
719,D,3,3.4422071,726,783,1,1,11,1
720,D,7,.65911883,765,782,1,1,12,0
721,D,0,3.0709953,728,706,1,0,11,0
722,D,1,4.3403835,741,711,1,0,10,0
723,D,4,2.3097119,784,823,1,1,9,1
724,D,2,1.4788644,733,799,1,0,12,1
725,D,7,1.5538757,832,737,1,1,10,1
726,D,0,2.2384744,694,722,1,0,10,0
727,D,3,2.6011517,711,732,1,0,11,0
728,D,6,4.9033155,689,733,1,0,12,0
729,D,3,1.6563036,784,705,1,1,11,0
730,D,6,4.970715,748,739,1,1,11,0
731,D,2,3.6571274,758,783,1,0,11,0
732,D,5,3.5250969,772,767,1,1,12,0
733,D,1,3.1780989,718,735,1,1,10,1
734,D,0,.099541888,814,746,1,0,9,0
735,D,0,1.7938385,776,729,1,0,9,1
736,D,2,1.6442028,764,767,1,1,10,1
737,D,1,4.0464025,740,805,1,0,11,1
738,D,5,5.4134841,699,712,1,0,12,0
739,D,4,3.999599,748,724,1,1,9,0
740,D,1,3.9376976,729,734,1,0,10,0
741,D,3,2.647872,747,739,1,0,12,1
742,D,0,5.5231256,791,750,1,0,9,1
743,D,4,.50290293,713,839,1,0,12,0
744,D,1,1.2865425,734,747,1,0,9,0
745,D,6,.63745862,752,744,1,1,11,0
746,D,2,3.2878158,763,791,1,1,9,1
747,D,0,2.4731951,705,757,1,0,9,1
748,D,3,1.5553086,712,724,1,0,11,0
749,D,3,1.0941817,722,755,1,1,9,0
750,D,0,2.2763331,748,792,1,0,10,0
751,D,8,2.7060239,814,769,1,1,11,0
752,D,5,.61060685,697,693,1,1,12,1
753,D,2,3.7616696,777,761,1,1,9,1
754,D,3,3.0874176,696,690,1,1,11,1
755,D,2,2.213275,763,732,1,1,10,1
756,D,2,2.4965808,701,786,1,0,9,0
757,D,4,1.7921585,765,724,1,1,10,1
758,D,3,5.3374538,737,745,1,1,10,0
759,D,1,3.040385,732,744,1,0,9,1
760,D,0,2.9699173,752,754,1,0,9,0
761,D,5,2.2131267,693,771,1,1,10,0
762,D,3,2.4131699,772,803,1,1,11,0
763,D,0,3.8396103,752,750,1,0,9,0
764,D,1,2.7200856,762,735,1,0,11,0
765,D,0,4.8056035,754,754,1,0,9,1
766,D,6,3.0602827,681,791,1,0,12,1
767,D,8,5.3197432,793,753,1,1,12,0
768,D,5,7.6420398,745,736,1,1,11,0
769,D,1,2.2938938,757,741,1,1,10,1
770,D,0,3.8536572,762,728,1,0,11,1
771,D,0,3.3840754,724,773,1,0,9,1
772,D,4,2.8181601,743,758,1,1,11,1
773,D,9,3.1268327,723,734,1,1,12,0
774,D,6,2.7945395,797,793,1,0,12,0
775,D,0,1.6110598,739,773,1,0,9,1
776,D,0,5.6544218,795,734,1,0,9,1
777,D,1,4.663271,738,759,1,0,10,0
778,D,4,4.7374387,738,708,1,0,9,0
779,D,6,3.8343859,769,766,1,1,11,0
780,D,1,4.7439327,808,735,1,0,9,1
781,D,8,3.8802066,736,723,1,0,11,0
782,D,5,3.7220237,774,748,1,1,10,1
783,D,0,2.1375346,755,768,1,0,9,1
784,D,1,4.4004545,828,786,1,0,10,0
785,D,3,4.6485496,768,790,1,0,11,0
786,D,1,2.2789209,788,759,1,0,10,0
787,D,0,1.7149355,745,750,1,0,9,0
788,D,0,.85275298,804,775,1,0,10,1
789,D,5,2.8418081,759,780,1,0,12,1
790,D,5,2.605711,726,743,1,1,11,1
791,D,4,2.8070877,807,767,1,1,10,0
792,D,1,2.0093491,719,734,1,0,11,1
793,D,2,3.0506146,706,819,1,0,10,0
794,D,3,4.3447995,815,764,1,0,12,1
795,D,0,3.5516417,740,738,1,0,10,0
796,D,4,1.5050247,732,786,1,1,10,0
797,D,2,4.6510024,728,742,1,1,10,1
798,D,1,1.3423908,688,717,1,1,9,1
799,D,0,4.2959881,780,715,1,0,9,1
800,D,0,3.4005339,718,673,1,0,9,1
801,E,8,3.206887,756,779,1,0,12,0
802,E,2,3.8803411,803,758,1,1,9,1
803,E,4,3.6437294,712,766,1,1,9,0
804,E,2,.98395419,744,765,1,0,9,1
805,E,0,4.1762133,808,767,1,0,9,0
806,E,6,3.5230536,761,761,1,1,11,0
807,E,0,1.7258004,780,687,1,0,11,1
808,E,3,1.6135542,746,741,1,0,10,1
809,E,0,2.2778893,754,682,1,0,9,0
810,E,0,1.7225925,742,824,1,0,10,1
811,E,0,1.5408599,775,735,1,0,10,0
812,E,1,.80684716,748,764,1,0,10,0
813,E,2,1.6447513,717,763,1,1,11,1
814,E,2,3.6108692,789,760,1,0,11,0
815,E,0,2.4272575,689,703,1,0,10,1
816,E,1,6.5166707,755,729,1,0,10,1
817,E,0,1.4316132,774,783,1,0,10,1
818,E,2,2.105679,741,726,1,1,10,1
819,E,2,1.2298577,798,737,1,0,10,0
820,E,4,2.3394561,740,723,1,0,12,1
821,E,1,2.593729,755,706,1,1,10,0
822,E,12,2.2269235,756,782,1,1,12,0
823,E,3,3.499625,771,752,1,1,11,1
824,E,6,3.2185922,699,718,1,1,10,1
825,E,1,4.6041274,769,756,1,0,10,0
826,E,1,2.9751968,718,797,1,0,10,0
827,E,0,3.4381053,790,779,1,0,9,1
828,E,0,3.1666622,801,731,1,0,10,1
829,E,0,3.795213,787,735,1,0,10,1
830,E,6,4.628675,776,775,1,1,10,0
831,E,1,3.1474917,770,803,1,1,10,1
832,E,0,2.9245901,778,755,1,0,9,0
833,E,2,4.319994,760,742,1,1,11,1
834,E,4,3.2501521,756,750,1,0,12,0
835,E,5,2.6238019,708,687,1,1,11,1
836,E,3,2.7809932,734,681,1,1,9,0
837,E,3,1.292877,797,707,1,0,10,0
838,E,3,4.0686784,733,791,1,1,9,0
839,E,10,5.3177252,739,786,1,1,12,0
840,E,4,2.2598176,767,719,1,1,9,1
841,E,2,1.2154406,733,803,1,1,9,0
842,E,2,2.8370216,785,742,1,1,9,0
843,E,3,2.6126456,795,740,1,0,12,1
844,E,0,4.04879,715,705,1,0,11,0
845,E,0,1.9404571,712,717,1,0,11,0
846,E,0,3.4099576,742,765,1,0,9,0
847,E,2,3.8101916,746,803,1,1,9,0
848,E,0,1.5191407,747,789,1,0,9,0
849,E,0,4.90312,761,709,1,0,10,0
850,E,0,.95240057,722,784,1,0,9,1
851,E,0,2.8931005,747,720,1,0,10,0
852,E,0,2.3240514,709,807,1,0,10,1
853,E,8,2.897768,732,802,1,1,11,0
854,E,0,2.502064,708,747,1,0,10,0
855,E,6,1.8002872,720,763,1,0,12,1
856,E,0,4.8916402,702,756,1,0,11,1
857,E,0,.92747051,705,716,1,0,10,0
858,E,3,3.3812559,725,740,1,0,9,0
859,E,5,2.9399843,802,768,1,1,11,1
860,E,7,2.7071288,764,780,1,1,12,0
861,E,3,2.8049302,760,766,1,0,10,1
862,E,1,4.27321,743,787,1,0,10,0
863,E,3,3.1687138,689,739,1,1,10,0
864,E,0,3.0840054,735,731,1,0,10,0
865,E,1,.45490032,741,738,1,0,11,0
866,E,3,1.7739904,778,707,1,1,10,0
867,E,3,1.1325696,721,774,1,0,11,1
868,E,2,2.9430089,747,724,1,1,9,0
869,E,8,2.8336067,731,708,1,0,12,1
870,E,0,.26866478,734,737,1,0,11,1
871,E,0,1.858683,812,758,1,0,9,1
872,E,3,2.8626311,759,740,1,1,11,1
873,E,0,2.6871464,777,793,1,0,9,0
874,E,0,3.706682,766,737,1,0,9,1
875,E,0,2.6003644,775,707,1,0,10,0
876,E,0,3.0090003,708,751,1,0,9,1
877,E,0,3.4853921,779,746,1,0,9,0
878,E,7,2.0050237,719,746,1,1,9,0
879,E,1,1.8911805,723,746,1,0,10,0
880,E,3,3.6573081,729,709,1,1,9,1
881,E,0,2.4092953,711,729,1,0,9,0
882,E,0,4.6673007,781,662,1,0,10,1
883,E,0,2.0865889,796,720,1,0,10,1
884,E,3,3.8355379,755,704,1,0,12,0
885,E,5,1.0614189,754,782,1,0,11,1
886,E,2,2.6514535,769,762,1,1,9,1
887,E,3,5.6149144,755,728,1,0,10,0
888,E,6,2.7137368,812,682,1,0,11,1
889,E,4,4.1997252,850,731,1,0,9,1
890,E,4,2.1728749,715,682,1,0,12,1
891,E,1,4.1459785,724,746,1,0,10,1
892,E,4,1.866156,718,775,1,1,10,0
893,E,0,2.7428539,731,767,1,0,11,1
894,E,4,2.5689421,792,811,1,1,11,0
895,E,1,3.4742455,754,779,1,0,9,1
896,E,0,2.3910911,774,754,1,0,11,0
897,E,3,4.4507308,755,755,1,1,11,1
898,E,0,4.3950834,704,794,1,0,11,0
899,E,4,2.5520554,704,712,1,1,11,0
900,E,2,3.0403597,732,770,1,1,10,0
901,E,6,1.826849,777,774,1,1,12,1
902,E,3,1.5303118,733,757,1,0,10,0
903,E,4,1.4955209,686,752,1,1,11,0
904,E,3,4.6026273,735,720,1,0,12,0
905,E,2,3.7180305,727,740,1,1,10,1
906,E,1,6.4797206,683,777,1,1,10,1
907,E,2,2.7844243,807,775,1,0,9,1
908,E,5,2.9762638,754,761,1,1,10,1
909,E,3,4.1614237,745,737,1,0,10,1
910,E,4,2.0506864,744,798,1,1,11,0
911,E,0,.36426076,745,740,1,0,9,0
912,E,0,4.7501273,788,744,1,0,10,0
913,E,1,5.8334184,769,732,1,0,9,1
914,E,6,1.2144319,749,706,1,1,11,1
915,E,1,4.2713776,738,712,1,1,10,1
916,E,0,4.1894903,777,789,1,0,9,0
917,E,8,1.2644579,744,734,1,1,12,1
918,E,8,2.8244071,771,761,1,1,12,0
919,E,1,1.7751788,704,798,1,1,10,1
920,E,3,3.0085363,764,772,1,1,10,0
921,E,8,1.975031,666,728,1,1,10,0
922,E,4,5.168746,759,735,1,1,10,1
923,E,0,3.3175585,772,728,1,0,9,0
924,E,1,2.0577435,755,724,1,0,10,1
925,E,3,3.0972335,765,786,1,1,9,0
926,E,3,3.0612943,747,712,1,1,10,1
927,E,0,4.0819616,753,784,1,0,11,0
928,E,0,1.372419,757,751,1,0,9,0
929,E,5,5.0888362,805,750,1,0,12,0
930,E,1,6.3467507,759,710,1,1,10,1
931,E,0,2.6243212,745,759,1,0,9,0
932,E,0,4.9411764,743,699,1,0,9,0
933,E,3,5.2706223,727,735,1,1,11,0
934,E,1,3.4647279,722,662,1,0,9,0
935,E,0,.76571327,697,699,1,0,11,0
936,E,4,4.3797107,771,754,1,1,10,0
937,E,1,3.3005447,728,756,1,0,11,1
938,E,3,3.6284404,721,707,1,1,11,1
939,E,9,1.7947792,799,778,1,1,12,1
940,E,1,3.7940471,754,766,1,0,10,0
941,E,2,.30978376,760,746,1,1,9,1
942,E,5,3.4724686,746,753,1,1,10,0
943,E,0,.45384076,728,742,1,0,10,1
944,E,2,2.518976,776,772,1,1,9,0
945,E,1,4.3792343,786,785,1,0,10,1
946,E,2,3.2324255,746,824,1,1,9,0
947,E,0,4.9364963,786,739,1,0,10,0
948,E,5,.38926944,772,711,1,0,10,0
949,E,1,3.2747362,731,777,1,0,11,0
950,E,5,5.0097704,732,762,1,0,11,0
951,E,1,2.7896481,723,746,1,1,10,1
952,E,4,1.1992345,736,724,1,0,9,0
953,E,3,3.6352351,789,734,1,1,11,0
954,E,2,3.8601823,774,704,1,1,10,1
955,E,0,2.6569893,687,696,1,0,9,1
956,E,0,2.3057792,703,743,1,0,10,1
957,E,0,5.6008162,730,796,1,0,9,1
958,E,2,.22386132,711,672,1,1,11,1
959,E,2,1.3636823,719,752,1,1,9,0
960,E,1,3.549001,775,716,1,0,10,1
961,E,5,3.8342271,749,785,1,0,12,0
962,E,7,4.7063203,763,763,1,1,12,0
963,E,1,1.7701277,769,722,1,1,9,0
964,E,8,5.1319551,733,743,1,1,12,0
965,E,1,2.320833,683,723,1,0,9,0
966,E,4,4.0351276,751,754,1,1,9,0
967,E,1,2.7336257,788,733,1,0,9,1
968,E,5,.43381223,716,742,1,1,9,0
969,E,1,1.7124186,804,729,1,0,10,1
970,E,0,3.884203,741,720,1,0,11,1
971,E,3,2.8970263,778,733,1,1,9,0
972,E,0,3.2580271,749,737,1,0,10,0
973,E,0,2.9383397,749,710,1,0,11,1
974,E,0,.80325508,809,743,1,0,10,0
975,E,0,3.2002242,706,735,1,0,11,0
976,E,3,4.7624893,762,770,1,1,9,1
977,E,3,2.0164361,704,761,1,1,10,1
978,E,0,1.6951133,798,731,1,0,10,1
979,E,6,1.4748547,723,763,1,1,12,0
980,E,3,4.8249607,759,760,1,1,10,1
981,E,0,4.6538119,744,775,1,0,10,1
982,E,1,3.0124395,764,767,1,0,9,1
983,E,4,1.6869149,730,702,1,1,11,0
984,E,8,.14167693,760,741,1,1,12,1
985,E,0,2.7419796,689,742,1,0,10,0
986,E,1,.037850704,727,764,1,1,10,0
987,E,2,3.8027394,708,809,1,1,10,0
988,E,2,2.9532595,770,682,1,1,9,0
989,E,5,2.4961474,736,739,1,0,9,0
990,E,0,4.5189924,733,787,1,0,9,0
991,E,0,2.7181003,813,799,1,0,10,0
992,E,1,1.8539398,761,743,1,0,10,0
993,E,4,3.5900421,779,706,1,0,12,1
994,E,0,3.1323133,713,689,1,0,9,0
995,E,2,3.2217593,731,727,1,1,10,1
996,E,8,2.6026933,774,771,1,1,9,0
997,E,2,2.6712825,718,759,1,0,12,1
998,E,1,.71013147,803,751,1,0,9,1
999,E,3,1.3393295,800,736,1,1,11,1
1000,E,2,4.402256,713,768,1,0,9,0
1001,E,2,3.6380386,808,760,1,1,11,0
1002,E,5,4.0985227,762,795,1,0,12,0
1003,E,3,1.8434777,740,718,1,1,10,1
1004,E,5,4.3483658,785,695,1,1,12,1
1005,E,4,2.0391762,796,786,1,1,9,0
1006,E,0,3.7553499,757,812,1,0,9,0
1007,E,1,3.2437561,704,721,1,0,11,0
1008,E,0,4.3237491,757,749,1,0,10,1
1009,E,0,3.1188834,742,787,1,0,11,0
1010,E,1,2.019717,755,783,1,0,11,0
1011,E,1,4.9734316,678,746,1,0,9,0
1012,E,0,2.9964607,739,718,1,0,11,1
1013,E,0,1.5828638,715,771,1,0,9,1
1014,E,3,4.0398154,750,842,1,0,12,0
1015,E,2,1.9343597,753,701,1,0,11,0
1016,E,1,3.7324357,770,772,1,0,10,1
1017,E,4,1.6162655,747,798,1,0,12,0
1018,E,5,3.837476,749,733,1,1,11,1
1019,E,2,3.8321691,780,771,1,1,9,0
1020,E,7,5.2593098,775,689,1,1,12,0
1021,E,2,4.280324,757,732,1,1,10,1
1022,E,0,4.1406798,759,760,1,0,10,1
1023,E,1,5.7273049,759,738,1,0,11,0
1024,E,6,4.4680409,697,732,1,0,12,1
1025,E,3,2.4963522,733,800,1,1,9,0
1026,E,0,1.5134858,771,769,1,0,9,0
1027,E,0,2.8153281,725,770,1,0,10,0
1028,E,4,3.1025927,772,727,1,1,10,0
1029,E,1,.36167449,735,785,1,0,9,1
1030,E,4,4.1358714,789,718,1,1,10,0
1031,E,3,3.3876739,719,771,1,0,12,1
1032,E,6,2.8788972,697,783,1,1,9,1
1033,E,0,.60184258,792,770,1,0,11,0
1034,E,10,4.0773659,788,715,1,1,12,1
1035,E,0,2.0929203,812,744,1,0,11,1
1036,E,2,4.4911265,672,728,1,1,9,1
1037,E,1,3.4409955,776,754,1,0,11,1
1038,E,3,2.2008553,729,772,1,1,9,0
1039,E,0,4.2168541,712,732,1,0,9,0
1040,E,2,5.0490422,735,810,1,1,9,0
1041,E,5,3.6323864,761,754,1,0,12,1
1042,E,3,6.0211062,809,769,1,0,11,0
1043,E,3,4.1864529,737,752,1,0,10,0
1044,E,9,4.4846702,770,717,1,1,12,1
1045,E,3,2.9116664,744,740,1,1,10,0
1046,E,3,3.3716924,773,735,1,1,11,1
1047,E,2,5.0920496,752,719,1,1,9,0
1048,E,10,3.9401867,709,732,1,0,11,0
1049,E,2,2.3743498,733,732,1,1,10,1
1050,E,2,4.4058857,724,746,1,1,9,1
1051,E,3,1.0512178,763,669,1,1,11,1
1052,E,3,4.3512249,729,714,1,0,12,1
1053,E,1,5.7016554,754,776,1,0,9,1
1054,E,0,3.9642835,768,725,1,0,10,0
1055,E,0,2.2574904,761,719,1,0,9,1
1056,E,1,2.6540568,770,730,1,0,11,0
1057,E,0,5.6516767,755,757,1,0,10,0
1058,E,2,.68755454,793,744,1,0,10,1
1059,E,5,3.0891349,757,738,1,0,10,0
1060,E,4,4.3757973,694,718,1,0,11,0
1061,E,6,3.1652269,756,730,1,1,12,1
1062,E,0,3.1479189,818,776,1,0,10,0
1063,E,3,3.6031551,727,705,1,0,11,0
1064,E,0,5.3627701,746,717,1,0,11,0
1065,E,2,3.1389267,762,713,1,0,10,1
1066,E,2,4.0086327,760,757,1,1,11,1
1067,E,4,3.0690343,742,719,1,0,12,1
1068,E,0,2.3152044,760,785,1,0,10,0
1069,E,3,3.2743835,752,703,1,0,10,0
1070,E,0,3.6602178,720,752,1,0,9,0
1071,E,1,2.9676216,778,728,1,0,10,0
1072,E,1,1.7675427,756,770,1,1,9,1
1073,E,3,.76523632,726,725,1,1,9,1
1074,E,2,3.2338297,692,726,1,1,9,1
1075,E,3,3.1336839,772,783,1,1,10,0
1076,E,3,4.1484623,742,774,1,0,10,1
1077,E,4,1.4095576,741,728,1,1,9,1
1078,E,3,2.7027309,815,757,1,0,12,0
1079,E,0,4.4738131,791,745,1,0,9,1
1080,E,5,4.3795471,691,745,1,1,10,0
1081,E,2,2.7396908,797,762,1,0,12,0
1082,E,0,1.6382498,736,714,1,0,9,0
1083,E,0,3.0997143,749,722,1,0,9,1
1084,E,4,6.3364725,736,765,1,1,10,1
1085,E,8,1.8875743,774,702,1,1,9,0
1086,E,3,3.1693602,752,735,1,0,12,0
1087,E,0,1.9158717,747,765,1,0,10,1
1088,E,3,5.8420787,817,749,1,1,10,0
1089,E,3,3.6197584,760,768,1,0,12,0
1090,E,5,3.8638813,700,763,1,1,9,1
1091,E,0,5.9318562,758,764,1,0,9,0
1092,E,3,4.8234262,728,706,1,1,9,1
1093,E,3,1.1751541,768,784,1,0,11,0
1094,E,0,.91465354,743,791,1,0,9,0
1095,E,0,3.2175856,757,719,1,0,9,0
1096,E,2,.80181307,765,716,1,1,10,0
1097,E,9,1.1199441,734,777,1,1,10,1
1098,E,2,3.8069038,791,736,1,1,10,1
1099,E,6,2.2348185,763,809,1,0,9,0
1100,E,6,3.3384242,777,713,1,1,12,1
1101,E,0,2.4931464,779,748,1,0,9,0
1102,E,1,4.4158769,694,729,1,0,11,1
1103,E,5,.88916492,730,773,1,1,12,1
1104,E,0,3.6986971,708,774,1,0,9,1
1105,E,7,5.3407006,802,737,1,0,9,0
1106,E,0,3.9876544,740,742,1,0,9,0
1107,E,1,4.9702468,781,734,1,0,9,1
1108,E,2,3.5688939,764,695,1,0,10,1
1109,E,0,.99577785,763,738,1,0,11,1
1110,E,2,2.8945537,722,731,1,1,9,1
1111,E,7,3.6753395,761,709,1,1,9,0
1112,E,0,4.6565437,795,748,1,0,11,1
1113,E,0,4.4855871,790,689,1,0,11,1
1114,E,2,.62962317,749,741,1,1,11,0
1115,E,4,1.5276043,731,764,1,1,9,0
1116,E,0,5.5105143,755,807,1,0,9,0
1117,E,0,2.4301195,749,723,1,0,10,1
1118,E,8,4.1193357,763,718,1,1,12,1
1119,E,0,.75065607,759,720,1,0,10,0
1120,E,3,.4942238,769,727,1,0,12,0
1121,E,0,2.0821984,799,701,1,0,11,1
1122,E,0,1.0386574,710,755,1,0,10,1
1123,E,3,4.1239548,712,693,1,1,11,0
1124,E,0,5.9999518,740,778,1,0,9,1
1125,E,0,5.6401043,746,798,1,0,10,1
1126,E,3,.36484462,747,743,1,0,9,0
1127,E,2,2.3242595,759,850,1,1,10,1
1128,E,3,2.318264,730,739,1,0,11,0
1129,E,0,3.0331573,801,753,1,0,11,1
1130,E,4,3.0886073,731,749,1,1,9,1
1131,E,0,6.2960224,737,776,1,0,9,1
1132,E,2,3.8925376,709,722,1,0,11,1
1133,E,0,3.5138779,762,814,1,0,9,0
1134,E,5,1.1091993,734,776,1,1,9,1
1135,E,1,2.9808416,772,764,1,0,10,0
1136,E,5,3.6192014,713,803,1,1,9,1
1137,E,6,.078900807,753,748,1,1,12,0
1138,E,3,2.4438062,766,790,1,1,9,0
1139,E,1,3.6672201,737,742,1,1,9,0
1140,E,0,3.3026583,780,753,1,0,10,0
1141,E,0,3.2165112,702,712,1,0,9,0
1142,E,9,3.6384768,704,777,1,0,12,0
1143,E,0,2.6792998,698,773,1,0,9,0
1144,E,0,4.0014758,690,786,1,0,9,0
1145,E,4,2.6755075,703,758,1,0,9,0
1146,E,0,4.5977893,746,736,1,0,10,0
1147,E,4,6.0222025,707,727,1,1,10,1
1148,E,12,5.5306726,727,804,1,1,12,1
1149,E,2,1.5511481,663,800,1,1,9,0
1150,E,0,3.8816333,792,744,1,0,9,1
1151,E,9,2.9353807,722,798,1,1,12,1
1152,E,1,2.046098,716,775,1,0,10,0
1153,E,4,3.5753264,746,780,1,0,11,1
1154,E,3,1.8708627,797,730,1,1,11,1
1155,E,2,4.2344627,816,762,1,1,10,0
1156,E,3,5.6163678,733,688,1,1,11,0
1157,E,4,2.2273321,775,799,1,1,11,1
1158,E,2,1.7404747,729,761,1,1,10,0
1159,E,3,.82750118,812,743,1,1,9,0
1160,E,3,4.8313303,701,709,1,1,10,0
1161,E,0,1.8092644,756,700,1,0,9,1
