stuid,schoolid,female,grade,atrisk,ell,iep,treatment,classroom,pre_test_math,pre_test_read,post_test_math
588,A,1,8,0,0,0,0,20,758,782,704
589,A,0,7,0,1,0,0,15,720,764,711
590,A,0,7,1,0,0,0,15,765,803,750
591,A,0,,0,0,0,0,22,748,653,729
592,A,0,8,1,0,0,0,13,758,702,715
593,A,0,8,0,0,0,0,20,730,724,721
594,A,0,,1,1,0,0,14,745,718,707
595,A,0,7,0,0,0,0,8,785,756,730
596,A,0,8,1,0,0,0,10,781,749,735
597,A,1,,1,0,0,1,0,790,767,817
598,A,1,7,1,0,0,0,10,727,722,715
599,A,1,8,1,0,0,0,14,760,793,742
600,A,0,8,1,0,0,0,29,715,787,722
601,A,0,7,1,0,0,1,6,728,743,745
602,A,1,7,0,1,0,0,21,710,755,650
603,A,1,7,1,0,0,1,6,722,762,697
604,A,1,7,0,0,0,1,3,729,708,691
605,A,1,7,0,0,1,0,16,778,773,785
606,A,1,8,0,0,0,0,7,771,769,714
607,A,0,8,0,1,1,0,21,807,748,770
608,A,0,7,0,0,1,0,7,771,780,722
609,A,1,,0,0,0,0,7,757,752,741
610,A,1,8,0,0,0,0,27,707,721,685
611,A,0,,0,0,0,0,16,807,780,775
612,A,1,8,0,0,0,0,22,740,747,729
613,A,1,8,1,0,0,0,21,705,763,728
614,A,0,7,1,0,0,0,8,745,771,702
615,A,0,7,0,0,0,1,4,780,786,821
616,A,0,8,1,0,0,0,26,794,708,776
617,A,1,8,1,1,0,0,25,796,798,740
618,A,1,,0,1,0,0,24,761,792,693
619,A,1,7,0,0,0,0,25,765,693,699
620,A,1,8,0,1,1,0,27,784,724,788
621,A,1,7,1,0,0,0,29,756,747,764
622,A,0,8,0,1,0,0,10,713,750,659
623,A,1,,0,1,1,0,12,681,709,701
624,A,1,,1,0,1,0,27,745,738,696
625,A,1,7,1,0,0,1,4,715,740,741
626,A,1,,1,0,0,1,2,810,709,807
627,A,0,7,0,1,0,0,20,749,748,712
628,A,1,7,0,0,0,1,1,761,752,703
629,A,1,8,0,1,0,0,18,718,791,677
630,A,1,8,1,0,0,1,6,739,758,710
631,A,0,,1,0,1,0,23,741,736,685
632,A,0,,0,0,1,0,25,736,721,684
633,A,1,7,0,0,0,1,6,726,745,733
634,A,1,8,1,0,0,1,2,739,650,685
635,A,0,,0,0,0,0,25,762,773,760
636,A,0,7,0,0,0,0,17,751,744,707
637,A,1,,0,0,0,1,3,850,775,804
638,A,1,,0,0,0,1,2,752,690,718
639,A,0,8,1,0,0,0,25,723,774,743
640,A,1,,1,0,0,0,8,791,790,760
641,A,1,,0,0,1,0,20,767,776,706
642,A,0,,0,1,0,0,11,733,737,697
643,A,0,8,0,0,0,0,25,767,755,764
644,A,0,,1,0,0,0,19,772,722,767
645,A,0,,1,0,1,0,12,782,749,799
646,A,0,,1,0,0,0,21,745,742,744
647,A,1,7,1,0,0,0,9,750,745,683
648,A,1,,1,0,0,0,10,802,737,725
649,A,1,7,1,1,0,0,10,740,763,735
650,A,0,7,0,0,0,1,1,686,785,735
651,A,0,8,1,0,0,0,28,716,797,704
652,A,0,,0,0,0,0,13,768,727,684
653,A,1,,0,0,0,0,27,761,673,754
654,A,1,,0,0,1,0,12,715,688,657
655,A,1,7,0,0,1,0,28,772,734,759
656,A,1,7,0,0,0,0,23,782,743,720
657,A,1,7,1,0,0,0,28,785,738,801
658,A,1,,0,0,0,1,0,720,760,703
659,A,1,7,0,0,0,0,8,786,731,782
660,A,1,8,1,0,0,1,4,675,801,650
661,A,0,8,0,0,0,0,11,790,743,770
662,A,1,8,0,0,0,0,23,797,747,799
663,A,1,,1,1,0,0,18,713,771,650
664,A,0,8,0,0,0,1,0,756,745,756
665,A,1,8,0,0,0,1,5,786,752,738
666,A,1,7,0,0,1,0,25,780,731,736
667,A,1,8,0,1,0,0,18,755,784,778
668,A,0,,0,0,0,0,10,703,767,686
669,A,1,7,1,0,0,0,17,718,722,679
670,A,0,8,0,0,0,0,20,760,756,778
671,A,1,8,0,0,0,0,25,776,767,710
672,A,0,,0,1,0,0,13,717,796,650
673,A,0,8,1,0,0,0,8,737,747,650
674,A,1,8,0,0,0,0,10,736,677,683
675,A,0,7,0,0,0,0,24,728,792,741
676,A,1,,0,0,1,1,4,781,747,738
677,A,1,7,0,0,0,0,9,769,757,788
678,A,1,7,1,1,0,0,7,800,780,819
679,A,0,,1,1,0,1,0,731,776,722
680,A,1,8,0,0,0,1,4,774,765,743
681,A,1,,0,0,0,0,17,770,761,743
682,A,1,,1,0,1,0,7,788,750,768
683,A,1,8,1,0,0,0,8,735,746,685
684,A,0,,1,0,1,0,28,764,738,750
685,A,0,7,0,1,0,0,7,661,746,657
686,A,0,8,1,0,0,0,14,734,737,737
687,A,1,,0,0,0,0,28,744,720,723
688,A,0,,1,0,0,0,24,715,796,725
689,A,0,,1,0,0,1,0,767,723,763
690,A,0,,1,1,0,0,23,732,742,650
691,A,0,8,0,0,0,0,22,746,709,748
692,A,1,7,1,0,0,0,23,745,793,751
693,A,1,7,1,1,0,0,23,767,773,752
694,A,1,7,1,0,0,1,6,724,698,709
695,A,1,7,1,1,0,0,11,709,774,717
696,A,0,7,1,0,0,0,20,732,759,724
697,A,1,,1,0,0,0,27,712,748,722
698,A,1,7,0,1,0,0,25,781,747,718
699,A,0,8,0,0,1,1,3,746,773,717
700,A,1,8,1,0,0,0,22,728,742,664
701,A,0,,1,0,0,0,27,750,712,734
702,A,1,,0,0,0,0,21,750,777,746
703,A,1,8,0,0,0,1,0,742,717,690
704,A,0,7,0,0,0,0,10,773,751,765
705,A,0,7,1,0,0,0,9,729,767,713
706,A,0,,1,1,0,0,23,729,748,698
707,A,1,,0,1,0,0,12,771,734,760
708,A,1,7,0,0,0,0,28,680,761,662
709,A,0,,0,1,0,0,23,741,729,788
710,A,1,8,0,0,0,0,14,727,740,724
711,A,0,7,1,0,0,0,19,753,752,711
712,A,0,,0,0,1,1,5,774,706,734
713,A,0,8,1,0,0,0,24,713,678,714
714,A,0,,0,1,0,0,25,741,733,769
715,A,1,8,0,0,0,1,0,748,747,707
716,A,1,7,0,0,0,0,13,785,668,722
717,A,1,8,0,0,0,0,9,775,760,748
718,A,0,,1,0,0,0,20,734,757,714
719,A,1,,1,0,0,0,8,784,768,768
720,A,1,7,1,0,0,0,13,756,738,708
721,A,0,8,1,0,0,0,9,747,795,766
722,A,0,,0,1,0,0,28,765,737,723
723,A,0,7,0,0,0,1,3,721,786,706
724,A,0,8,0,0,0,1,5,807,807,761
725,A,0,7,0,0,0,1,1,750,735,733
726,A,1,8,1,0,0,0,27,753,696,692
727,A,1,,1,0,0,0,22,740,734,770
728,A,1,8,0,0,0,1,3,805,740,769
729,A,0,,0,0,0,1,6,743,729,744
730,A,1,,1,0,0,0,13,729,728,659
731,A,1,8,0,1,0,1,3,769,754,784
732,A,1,7,0,0,0,0,18,717,779,706
733,A,1,,1,0,0,0,24,772,700,716
734,A,1,7,0,1,0,0,28,772,749,723
735,A,1,8,1,1,1,0,25,720,747,683
736,A,1,,0,0,0,1,2,700,784,742
737,A,1,7,1,0,1,1,3,741,726,676
738,A,0,7,0,1,0,1,4,709,725,681
739,A,1,7,0,0,0,0,21,730,722,693
740,A,1,,0,0,0,1,1,765,782,760
741,A,1,8,0,0,0,0,21,719,744,710
742,A,0,7,0,1,0,0,16,700,801,691
743,A,0,8,1,1,0,0,26,727,764,683
744,A,0,7,0,0,0,0,12,712,761,731
745,A,0,7,0,0,0,0,11,733,788,694
746,A,1,8,1,0,0,1,1,717,778,686
747,A,0,7,0,0,1,0,26,700,765,711
748,A,1,8,0,1,1,1,0,741,740,721
749,A,1,,1,1,0,0,9,730,735,717
750,A,1,8,1,0,0,0,24,756,728,698
751,A,0,,0,0,0,0,16,706,761,722
752,A,0,7,0,0,0,0,22,705,707,710
753,A,0,,0,1,0,0,14,756,729,696
754,A,0,7,1,0,0,1,2,775,712,737
755,A,1,7,0,0,0,0,16,766,692,686
756,A,0,7,0,0,0,1,5,754,784,733
757,A,1,,1,1,0,0,7,744,733,731
758,A,1,7,0,0,0,0,16,766,755,690
759,A,1,,1,0,0,0,22,701,771,650
760,A,0,8,0,0,1,0,19,737,739,743
761,A,0,8,0,1,1,1,2,771,718,719
762,A,1,7,1,1,0,0,23,751,799,753
763,A,1,,0,1,0,0,8,757,716,695
764,A,1,7,0,0,1,0,18,732,746,650
765,A,0,7,1,0,0,0,9,753,755,754
766,A,0,,0,0,0,1,4,752,790,725
767,A,0,7,1,1,1,0,21,714,768,681
768,A,1,7,1,0,0,0,21,717,750,734
769,A,1,,0,0,0,0,14,748,795,752
770,A,1,8,0,1,0,0,25,759,699,700
771,A,1,,0,0,0,0,11,784,744,724
772,A,1,8,1,1,0,1,1,679,717,674
773,A,0,,1,0,0,0,15,750,715,715
774,A,1,,1,0,0,0,27,736,696,673
775,A,0,,1,0,0,0,14,763,762,741
776,A,1,8,0,1,0,0,7,738,743,738
777,A,1,7,0,0,0,0,15,688,794,656
778,A,1,8,0,1,0,0,14,796,741,798
779,A,1,8,1,0,1,0,21,795,778,752
780,A,0,7,0,0,0,0,21,734,800,766
781,A,0,7,1,0,0,0,18,815,735,808
782,A,0,8,1,0,1,0,20,764,769,700
783,A,0,8,1,1,0,0,9,787,770,744
784,A,1,,0,0,0,0,29,744,786,765
785,A,0,,1,0,0,0,14,739,791,726
786,A,1,8,1,1,1,0,14,791,737,772
787,A,0,8,1,0,0,0,10,732,733,755
788,A,0,8,1,0,0,0,12,752,740,738
789,A,1,,1,0,1,1,4,758,752,791
790,A,1,7,1,0,0,1,0,753,740,749
791,A,1,8,1,0,0,0,24,729,800,692
792,A,1,,0,0,0,0,15,754,784,740
793,A,1,7,0,0,0,0,7,769,775,728
794,A,1,8,1,0,1,0,8,732,754,664
795,A,0,8,1,0,0,1,2,772,801,740
796,A,0,7,0,0,1,1,1,755,755,730
797,A,1,7,0,1,0,0,9,797,761,723
798,A,0,8,0,0,0,0,29,694,765,722
799,A,0,8,1,1,1,0,22,827,716,809
800,A,1,7,0,0,0,0,13,746,730,765
801,A,1,8,0,0,0,0,21,694,769,697
802,A,1,8,0,0,0,0,27,737,709,740
803,A,0,,0,0,0,1,6,764,794,742
804,A,0,7,0,0,0,0,25,686,723,684
805,A,0,7,0,0,0,0,29,756,725,742
806,A,1,,0,1,0,0,11,771,744,730
807,A,0,8,0,0,1,0,18,813,739,762
808,A,1,7,0,1,0,0,21,730,734,721
809,A,0,8,1,0,0,0,26,728,721,696
810,A,0,,1,0,0,0,11,761,771,771
811,A,1,7,0,0,0,0,29,764,812,742
812,A,1,7,0,1,0,1,0,763,777,745
813,A,0,7,0,0,0,0,9,735,746,705
814,A,1,,1,0,1,1,5,683,676,662
815,A,0,,0,0,0,0,7,726,776,710
816,A,1,7,0,0,0,0,9,786,728,730
817,A,1,7,1,1,0,1,4,742,762,724
818,A,1,,0,1,0,0,29,704,747,655
819,A,1,7,0,1,0,1,4,688,769,682
820,A,0,7,1,1,1,0,23,743,703,650
821,A,0,8,1,1,0,0,29,731,797,753
822,A,0,,0,0,0,0,21,715,765,726
823,A,0,,1,1,0,0,28,753,744,773
824,A,1,8,1,0,0,0,7,808,742,782
825,A,1,7,0,0,0,1,3,765,740,736
826,A,1,,0,1,0,1,2,719,753,675
827,A,0,7,0,0,0,0,14,739,813,756
828,A,1,7,0,0,1,1,4,731,702,710
829,A,0,,0,0,0,0,26,784,733,709
830,A,0,8,1,0,0,0,27,748,724,743
831,A,0,8,0,1,1,0,10,723,734,720
832,A,0,,1,0,0,0,22,794,696,747
833,A,0,,0,0,0,1,3,792,709,755
834,A,1,7,0,0,0,1,5,761,724,760
835,A,1,,0,0,1,0,21,763,722,758
836,A,1,,0,0,0,1,5,788,793,771
837,A,0,7,0,0,0,1,5,744,741,722
838,A,0,,0,1,0,0,29,761,794,725
839,A,0,8,0,0,0,0,14,705,702,716
840,A,0,,0,0,0,0,13,769,717,686
841,A,0,7,0,0,0,0,17,761,789,745
842,A,1,,0,0,1,0,17,707,714,752
843,A,0,,1,1,1,0,25,771,796,740
844,A,1,,0,0,0,0,8,759,709,765
845,A,0,7,1,0,0,0,7,699,738,660
846,A,1,8,1,0,0,0,13,706,720,717
847,A,0,8,0,0,0,0,14,761,736,702
848,A,1,,0,0,0,1,6,774,784,766
849,A,1,,0,1,0,1,1,752,776,746
850,A,0,7,1,0,0,0,26,739,776,768
851,A,1,7,0,0,0,0,24,768,754,753
852,A,1,,0,0,1,0,28,742,708,715
853,A,0,7,1,0,0,0,8,763,779,789
854,A,1,7,0,0,0,1,1,745,699,733
855,A,1,,0,0,0,0,17,778,769,736
856,A,0,7,1,0,0,0,15,785,744,765
857,A,1,8,0,1,0,1,3,776,810,719
858,A,0,8,0,1,0,0,24,748,699,749
859,A,0,,0,0,0,0,11,733,753,754
860,A,1,7,1,1,0,0,20,724,757,657
861,A,0,8,0,0,0,0,28,689,777,699
862,A,1,7,1,0,0,0,8,694,755,698
863,A,0,,1,0,0,0,12,787,696,736
864,A,0,,0,0,1,0,28,717,766,688
865,A,1,7,0,0,0,1,6,771,723,757
866,A,0,,1,0,0,0,14,754,797,716
867,A,0,,0,0,0,0,12,819,779,810
868,A,1,,0,0,0,1,5,840,758,816
869,A,1,,0,1,0,0,20,779,803,787
870,A,1,,1,0,0,0,12,794,758,794
871,A,1,8,0,0,0,1,5,794,706,812
872,A,0,8,0,0,0,0,21,728,759,680
873,A,0,8,0,0,0,1,3,747,783,716
874,A,1,7,1,0,0,0,14,749,744,727
875,A,0,7,0,1,0,0,21,776,707,741
876,A,0,,0,0,0,0,14,733,694,718
877,A,1,,1,0,0,0,28,768,760,786
878,A,0,8,0,1,0,1,1,757,823,825
879,A,1,8,1,0,0,0,14,732,710,687
880,A,1,,1,1,1,0,28,789,807,799
881,A,1,7,0,0,1,1,0,800,808,816
882,A,0,7,1,0,0,0,14,735,734,718
883,A,1,,0,0,0,1,5,796,676,759
884,A,0,7,0,0,0,0,8,704,724,700
885,A,0,7,0,1,0,1,5,730,713,723
886,A,0,7,0,0,0,0,28,756,725,751
887,A,0,7,1,0,1,1,6,768,753,757
888,A,0,8,1,0,1,0,19,767,826,733
889,A,0,8,0,1,0,0,16,759,758,694
890,A,0,7,1,0,0,0,15,753,748,759
891,A,0,,1,0,1,0,16,729,763,782
892,A,1,,1,0,0,0,18,746,741,739
893,A,1,8,0,0,0,0,21,715,766,700
894,A,0,,1,0,1,0,13,753,749,727
895,A,0,8,1,1,0,0,14,757,778,774
896,A,1,7,0,0,1,0,29,812,771,785
897,A,1,,1,0,0,1,1,752,746,741
898,A,1,,1,0,1,1,6,734,785,764
899,A,0,,0,0,0,0,20,765,765,736
900,A,0,7,0,1,0,1,0,742,773,677
901,A,0,,1,0,0,0,26,774,699,752
902,A,1,8,1,0,0,0,18,769,758,756
903,A,0,8,1,0,0,0,16,715,740,650
904,A,1,,0,0,0,0,27,779,812,767
905,A,1,,0,1,0,0,23,710,729,692
906,A,0,7,1,0,0,0,18,703,690,681
907,A,1,8,0,0,0,0,23,733,771,688
908,A,0,,1,1,0,1,4,712,731,689
909,A,1,8,1,0,0,0,28,787,686,731
910,A,1,7,0,0,0,0,27,761,770,723
911,A,0,,0,0,0,0,20,766,783,714
912,A,0,8,0,0,0,1,5,706,731,681
913,A,0,8,0,0,1,0,21,737,745,731
914,A,1,,1,0,0,1,5,770,763,735
915,A,1,,0,0,0,0,10,780,727,764
916,A,1,7,0,0,0,0,20,763,776,780
917,A,0,,0,0,0,0,15,746,783,727
918,A,0,7,0,0,1,0,10,779,745,748
919,A,0,7,1,1,0,1,3,736,733,716
920,A,0,,1,1,0,0,27,764,760,782
921,A,1,8,0,0,0,0,29,751,705,730
922,A,1,,0,0,0,1,2,779,752,776
923,A,1,8,0,1,0,0,23,735,775,714
924,A,1,8,1,0,0,0,10,798,695,770
925,A,0,,1,0,0,0,22,742,812,752
926,A,0,7,0,1,0,0,27,758,760,735
927,A,1,,1,0,0,0,22,844,786,765
928,A,1,,1,0,0,0,27,734,768,704
929,A,0,7,0,0,0,0,7,762,765,737
930,A,0,,1,1,0,0,26,717,799,715
931,A,0,7,0,0,1,1,5,756,692,720
932,A,0,8,0,1,1,0,9,724,769,709
933,A,0,8,0,1,1,1,3,792,699,716
934,A,0,7,1,0,0,0,25,766,779,770
935,A,0,7,0,1,0,0,11,790,743,768
936,A,0,,0,0,0,1,4,766,689,805
937,A,0,8,0,0,0,1,3,692,795,722
938,A,0,8,0,0,1,0,17,800,740,735
939,A,0,,0,0,0,0,10,834,703,825
940,A,1,7,1,0,0,0,12,740,753,710
941,A,1,,0,1,0,0,7,736,716,711
942,A,1,7,1,0,0,0,14,798,707,785
943,A,1,7,0,0,0,0,7,735,791,682
944,A,1,7,0,1,0,0,10,746,706,717
945,A,0,7,0,1,1,0,16,788,760,811
946,A,0,8,1,1,0,0,7,780,802,785
947,A,0,,1,1,0,1,4,748,747,747
948,A,1,,1,0,0,0,19,715,803,750
949,A,1,7,0,0,1,0,24,753,774,719
950,A,0,7,0,0,0,0,15,689,746,723
951,A,0,8,0,0,0,0,10,754,748,702
952,A,0,,1,1,0,0,9,787,762,687
953,A,0,8,1,0,0,1,2,770,706,772
954,A,0,7,0,0,0,0,7,783,761,764
955,A,0,8,1,0,0,0,12,706,737,650
956,A,0,7,1,1,0,0,16,736,785,725
957,A,0,7,0,0,1,1,0,802,739,735
958,A,1,7,1,0,0,0,16,775,724,727
959,A,0,7,0,1,0,0,26,777,700,731
960,A,1,,0,0,0,0,13,825,754,755
961,A,0,7,0,0,0,0,18,742,734,776
962,A,1,8,1,0,0,0,29,777,739,765
963,A,1,7,1,0,1,0,25,789,785,781
964,A,0,,1,0,0,0,17,698,694,730
965,A,1,7,0,0,0,1,4,696,695,674
966,A,0,7,0,0,0,0,16,720,765,653
967,A,0,8,0,0,1,1,3,720,694,704
968,A,1,7,0,0,0,0,11,692,769,651
969,A,0,,0,0,1,0,20,759,772,741
970,A,0,7,0,0,1,1,0,771,777,748
971,A,0,,1,0,0,1,6,734,774,802
972,A,0,7,0,0,0,0,20,750,816,714
973,A,0,8,0,0,0,0,9,836,772,818
974,A,0,,0,0,0,0,22,777,746,718
975,A,1,,0,0,0,0,8,673,753,650
976,A,1,,0,1,0,0,13,833,699,793
977,A,1,,0,0,0,0,19,778,768,715
978,A,1,8,0,1,0,0,20,756,746,712
979,A,1,8,0,1,1,0,20,757,782,763
980,A,0,,0,0,0,0,13,751,743,721
981,A,0,7,0,0,0,0,9,767,753,741
982,A,0,,1,0,0,0,17,751,753,693
983,A,0,8,0,0,1,0,21,707,710,707
984,A,0,7,1,0,0,0,29,727,748,666
985,A,1,7,0,0,0,1,5,790,763,781
986,A,0,7,1,0,0,1,4,723,735,691
987,A,1,8,0,0,0,0,27,759,753,733
988,A,0,,1,0,0,0,20,775,728,704
989,A,0,7,0,1,0,1,4,756,752,729
990,A,0,7,1,0,0,0,23,754,664,719
991,A,0,8,0,1,0,0,24,729,725,666
992,A,1,8,1,0,0,0,23,755,814,744
993,A,1,,0,0,0,1,4,760,740,759
994,A,0,7,0,0,0,0,20,787,725,728
995,A,1,,0,0,1,0,21,685,726,650
996,A,1,,0,0,0,0,17,754,777,743
997,A,0,7,0,1,0,0,13,714,780,730
998,A,1,,1,0,0,1,0,768,795,770
999,A,0,7,1,0,1,0,26,740,749,763
1000,A,0,8,0,1,0,0,29,709,743,727
1001,A,0,,0,0,1,0,22,719,779,734
1002,A,1,7,1,0,1,0,15,778,686,752
1003,A,0,7,0,1,1,1,3,746,654,747
1004,A,0,8,0,0,0,0,27,754,670,706
1005,A,0,,0,0,0,1,2,757,725,741
1006,A,0,8,0,0,0,1,2,756,722,739
1007,A,0,8,1,0,0,0,28,695,768,711
1008,A,1,8,0,0,0,0,19,753,765,706
1009,A,0,,0,1,1,1,2,678,679,657
1010,A,0,8,0,1,0,0,28,742,714,720
1011,A,1,8,0,0,0,1,1,817,733,802
1012,A,1,7,1,1,0,0,27,789,738,790
1013,A,0,7,1,1,0,0,12,762,740,733
1014,A,1,,0,1,0,0,15,786,701,763
1015,A,1,8,0,0,0,0,8,710,674,682
1016,A,0,,1,0,0,1,2,750,719,691
1017,A,1,,0,0,0,1,6,767,744,766
1018,A,1,8,0,0,0,1,1,732,702,753
1019,A,1,7,1,0,0,0,7,762,771,767
1020,A,1,,0,0,0,0,21,756,737,708
1021,A,0,8,0,0,0,0,8,778,741,790
1022,A,1,7,0,0,1,0,15,720,787,701
1023,A,0,7,0,0,0,0,9,758,796,727
1024,A,1,,1,0,1,0,19,724,726,670
1025,A,0,7,1,0,0,0,29,732,687,695
1026,A,0,8,0,0,0,0,14,802,792,757
1027,A,0,8,0,1,1,0,25,734,775,760
1028,A,0,,0,0,0,0,7,801,756,777
1029,A,0,7,0,0,0,1,2,731,703,734
1030,A,0,,0,0,0,0,21,699,776,699
1031,A,1,,0,0,0,0,25,733,808,714
1032,A,1,7,1,0,0,0,23,706,798,705
1033,A,0,,1,0,0,0,12,808,717,764
1034,A,1,7,0,0,0,0,10,809,774,727
1035,A,1,7,1,0,0,0,12,777,751,756
1036,A,0,8,1,0,0,0,21,726,733,687
1037,A,0,,0,0,0,1,6,789,721,785
1038,A,0,,0,1,0,1,6,705,712,703
1039,A,0,,0,0,0,0,23,763,740,728
1040,A,0,7,0,1,0,0,16,757,754,731
1041,A,1,,0,0,0,0,7,751,749,739
1042,A,1,8,0,1,1,1,4,813,680,749
1043,A,1,7,1,0,0,0,14,729,781,667
1044,A,1,,1,1,0,0,23,768,725,714
1045,A,0,8,1,1,0,1,5,703,782,722
1046,A,1,7,1,0,0,0,17,762,762,728
1047,A,1,7,0,1,0,0,11,721,787,730
1048,A,1,7,0,0,0,1,1,747,711,677
1049,A,0,,1,0,0,0,27,736,742,738
1050,A,1,7,0,0,0,0,29,707,760,698
1051,A,1,,1,0,0,0,10,766,716,727
1052,A,1,,0,1,0,1,1,802,770,791
1053,A,0,,1,0,0,0,9,763,744,743
1054,A,0,,0,0,0,0,29,754,714,723
1055,A,1,8,1,0,0,1,1,746,790,732
1056,A,0,,1,0,0,0,16,749,761,751
1057,A,0,7,1,0,0,0,18,767,784,724
1058,A,1,7,1,0,1,0,8,724,740,726
1059,A,1,,1,1,1,0,20,777,725,751
1060,A,0,,1,0,0,0,26,747,741,714
1061,A,1,,0,0,1,0,7,776,761,769
1062,A,0,7,0,1,0,1,1,735,806,750
1063,A,1,,1,1,1,1,5,746,751,770
1064,A,0,,0,0,1,0,14,781,689,721
1065,A,0,,0,1,0,0,25,730,785,685
1066,A,1,8,1,1,0,0,9,781,768,770
1067,A,0,8,1,0,0,0,19,801,739,719
1068,A,0,7,0,1,0,0,19,780,752,727
1069,A,0,8,0,0,0,0,18,776,783,688
1070,A,1,7,0,0,0,0,20,781,785,740
1071,A,1,,1,1,1,0,24,700,776,693
1072,A,1,7,1,0,0,0,13,769,789,713
1073,A,1,8,0,0,0,0,29,769,762,817
1074,A,0,,0,0,1,0,19,736,742,740
1075,A,0,7,1,0,0,0,26,742,772,717
1076,A,0,7,0,0,0,0,27,785,770,782
1077,A,0,7,1,0,0,0,20,755,756,690
1078,A,1,,1,0,0,0,13,718,750,653
1079,A,0,7,1,0,0,1,5,724,768,745
1080,A,0,7,1,1,1,0,7,714,811,728
1081,A,1,7,0,0,0,0,26,740,753,712
1082,A,1,7,1,1,0,1,1,769,744,750
1083,A,0,8,1,0,1,0,15,735,732,677
1084,A,0,7,1,0,0,1,3,792,756,786
1085,A,1,8,0,1,1,0,24,742,720,752
1086,A,0,,0,0,0,0,28,743,712,724
1087,A,0,8,0,0,1,0,20,733,674,684
1088,A,1,,0,1,0,0,26,767,687,720
1089,A,1,7,1,0,0,1,2,715,776,677
1090,A,0,,1,0,0,1,0,785,723,760
1091,A,0,,0,0,0,0,20,782,712,806
1092,A,0,7,0,0,0,0,12,751,770,703
1093,A,1,8,0,0,0,0,22,726,780,660
1094,A,0,7,1,1,0,0,12,740,763,717
1095,A,0,8,1,0,0,0,14,774,719,771
1096,A,1,7,1,1,0,0,22,793,722,769
1097,A,0,8,1,0,0,1,3,760,698,792
1098,A,0,8,1,0,1,0,24,764,801,697
1099,A,1,8,1,0,0,1,5,778,787,737
1100,A,1,7,0,0,0,1,3,739,747,724
1101,B,0,7,1,0,0,0,53,711,845,714
1102,B,0,,1,1,0,0,46,808,744,807
1103,B,0,,0,1,1,0,41,765,792,737
1104,B,0,,1,0,0,0,56,709,769,707
1105,B,0,8,0,0,0,1,32,756,733,689
1106,B,1,,0,0,0,0,43,701,725,650
1107,B,0,,0,0,0,0,53,672,742,650
1108,B,0,,0,0,0,0,41,706,728,671
1109,B,1,8,0,0,1,1,34,728,747,685
1110,B,0,8,0,0,0,0,53,743,737,718
1111,B,0,,1,0,0,0,50,750,822,737
1112,B,0,7,0,0,0,1,30,787,784,719
1113,B,0,7,1,0,0,0,43,712,710,696
1114,B,1,,1,0,0,0,40,785,739,784
1115,B,1,8,0,0,0,1,32,774,738,753
1116,B,1,7,1,0,0,1,30,753,713,752
1117,B,1,,0,0,0,0,45,781,759,764
1118,B,0,,0,1,0,0,43,765,781,726
1119,B,1,7,1,0,0,0,57,734,753,739
1120,B,1,7,0,0,0,0,56,726,768,734
1121,B,1,8,0,0,1,0,49,740,717,737
1122,B,0,,1,1,0,1,31,745,755,730
1123,B,1,,0,0,0,0,41,710,775,708
1124,B,0,8,1,1,0,0,56,711,702,652
1125,B,1,7,0,0,0,0,43,826,773,821
1126,B,1,7,0,1,0,0,47,753,772,795
1127,B,1,8,1,0,1,0,53,772,789,739
1128,B,1,8,0,1,0,0,55,779,775,711
1129,B,0,,0,0,0,0,47,785,773,741
1130,B,1,7,0,0,0,0,46,797,764,694
1131,B,1,8,1,1,0,0,50,757,787,715
1132,B,0,7,1,0,0,0,50,734,766,700
1133,B,0,,1,0,0,0,49,720,708,720
1134,B,0,8,0,0,0,1,35,687,779,690
1135,B,0,,0,0,1,0,48,734,793,726
1136,B,0,7,1,0,0,0,39,731,755,758
1137,B,1,8,0,1,0,0,55,708,757,677
1138,B,1,7,0,1,0,0,52,719,678,659
1139,B,0,,0,1,0,1,31,737,729,722
1140,B,0,7,1,1,1,1,35,772,749,743
1141,B,0,7,1,1,0,0,49,742,742,727
1142,B,1,,1,1,0,0,43,765,731,687
1143,B,0,,1,0,1,0,49,750,794,737
1144,B,1,,1,0,0,0,47,687,694,650
1145,B,0,7,1,0,1,0,43,748,696,738
1146,B,1,8,0,0,0,0,47,682,711,650
1147,B,1,7,1,0,0,0,52,743,785,747
1148,B,1,,0,0,1,0,45,781,748,759
1149,B,1,8,0,0,0,0,41,763,745,756
1150,B,1,8,1,0,0,0,49,741,755,738
1151,B,1,7,1,1,0,0,57,777,723,759
1152,B,0,,1,0,0,0,38,727,746,717
1153,B,0,7,1,1,0,0,37,737,758,714
1154,B,1,,0,0,1,0,41,773,708,766
1155,B,1,8,0,0,0,0,45,741,755,682
1156,B,1,,0,0,0,1,31,775,800,792
1157,B,1,8,0,0,1,0,51,748,718,681
1158,B,0,8,1,0,0,0,52,707,776,675
1159,B,1,8,0,1,1,0,53,711,731,654
1160,B,1,,0,0,0,0,51,739,759,699
1161,B,1,,0,0,1,0,46,708,703,685
1162,B,0,,1,0,0,1,31,740,786,741
1163,B,0,7,0,0,0,0,58,776,745,755
1164,B,0,7,0,0,0,0,58,771,709,725
1165,B,1,8,0,0,1,0,48,772,731,766
1166,B,0,8,1,0,0,1,32,728,703,695
1167,B,1,,1,0,1,1,32,726,775,694
1168,B,0,7,0,0,0,1,30,735,777,695
1169,B,1,7,0,0,1,0,57,743,719,714
